<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVDA,D,02/02/24,00:00:00,63.971,66.598,63.693,66.153,16279780
NVDA,D,05/02/24,00:00:00,68.241,69.479,67.233,69.3,14224010
NVDA,D,06/02/24,00:00:00,69.681,69.7535,66.3,68.231,13887650
NVDA,D,07/02/24,00:00:00,68.35,70.218,67.6,70.082,11616380
NVDA,D,08/02/24,00:00:00,70.087,70.76,69.49,69.66,9096480
NVDA,D,09/02/24,00:00:00,70.544,72.182,70.238,72.108,11979200
NVDA,D,12/02/24,00:00:00,72.591,74.6,71.271,72.251,13601320
NVDA,D,13/02/24,00:00:00,70.363,73.446,69.689,72.182,13450730
NVDA,D,14/02/24,00:00:00,73.237,74.223,71.985,73.897,10916780
NVDA,D,15/02/24,00:00:00,73.913,73.959,72.401,72.683,10185430
NVDA,D,16/02/24,00:00:00,74.051,74.4,72.502,72.589,12901910
NVDA,D,20/02/24,00:00:00,71.953,71.956,67.747,69.487,12735090
NVDA,D,21/02/24,00:00:00,68.011,68.865,66.261,67.49,10030510
NVDA,D,22/02/24,00:00:00,75.071,78.573,74.271,78.527,20164940
NVDA,D,23/02/24,00:00:00,80.788,82.392,77.6,78.847,19092550
NVDA,D,26/02/24,00:00:00,79.7,80.609,78.531,79.108,9763690
NVDA,D,27/02/24,00:00:00,79.357,79.48,77.197,78.761,7477730
NVDA,D,28/02/24,00:00:00,77.69,78.93,77.139,77.69,6257300
NVDA,D,29/02/24,00:00:00,79.094,79.99,78.366,79.018,9854140
NVDA,D,01/03/24,00:00:00,79.986,82.3,79.441,82.274,14708810
NVDA,D,04/03/24,00:00:00,84.13,87.69,83.753,85.237,13292380
NVDA,D,05/03/24,00:00:00,85.2685,86.087,83.434,85.982,11155540
NVDA,D,06/03/24,00:00:00,88.082,89.706,87.046,88.734,13934710
NVDA,D,07/03/24,00:00:00,90.175,92.736,89.654,92.588,14567900
NVDA,D,08/03/24,00:00:00,95.168,97.374,86.524,87.502,24070870
NVDA,D,11/03/24,00:00:00,86.246,88.79,84.201,85.811,10608160
NVDA,D,12/03/24,00:00:00,88.049,91.943,86.177,91.937,12122050
NVDA,D,13/03/24,00:00:00,91.206,91.5,88.458,90.926,12125040
NVDA,D,14/03/24,00:00:00,89.577,90.621,86.615,87.962,13591690
NVDA,D,15/03/24,00:00:00,86.93,89.54,86.293,87.841,11954110
NVDA,D,18/03/24,00:00:00,90.415,92.392,87.105,88.463,11956420
NVDA,D,19/03/24,00:00:00,86.595,90.536,85.01,89.397,11975280
NVDA,D,20/03/24,00:00:00,89.867,90.4,88.223,90.371,9558460
NVDA,D,21/03/24,00:00:00,92.355,92.615,90.408,91.435,10782530
NVDA,D,22/03/24,00:00:00,91.141,94.769,90.88,94.25,16752690
NVDA,D,25/03/24,00:00:00,93.969,96.75,93.51,95.001,10927500
NVDA,D,26/03/24,00:00:00,95.849,96.356,92.521,92.521,9859580
NVDA,D,27/03/24,00:00:00,93.1,93.205,89.145,90.269,11528670
NVDA,D,28/03/24,00:00:00,90,91.288,89.2,90.25,9416510
NVDA,D,01/04/24,00:00:00,90.322,92.223,89.205,90.375,7249640
NVDA,D,02/04/24,00:00:00,88.483,90.081,87.64,89.5,8325390
NVDA,D,03/04/24,00:00:00,88.501,90.371,88.43,88.966,7263980
NVDA,D,04/04/24,00:00:00,90.35,90.613,85.88,85.89,9290390
NVDA,D,05/04/24,00:00:00,86.86,88.476,85.972,88.024,11339440
NVDA,D,08/04/24,00:00:00,88.642,88.82,86.732,87.142,5034750
NVDA,D,09/04/24,00:00:00,87.442,87.635,83.022,85.335,9983310
NVDA,D,10/04/24,00:00:00,83.923,87.389,83.734,87.039,10041560
NVDA,D,11/04/24,00:00:00,87.407,90.735,86.947,90.617,11275140
NVDA,D,12/04/24,00:00:00,89.729,90.146,87.534,88.23,12731880
NVDA,D,15/04/24,00:00:00,89.111,90.613,85.947,85.969,8462060
NVDA,D,16/04/24,00:00:00,86.5,88.108,86.08,87.4,9298040
NVDA,D,17/04/24,00:00:00,88.309,88.765,83.953,84.039,13584470
NVDA,D,18/04/24,00:00:00,85.037,86.185,82.429,84.675,11568100
NVDA,D,19/04/24,00:00:00,83.107,84.3,75.643,76.221,26333630
NVDA,D,22/04/24,00:00:00,78.131,80.051,76.409,79.493,14216430
NVDA,D,23/04/24,00:00:00,80.801,82.766,80.272,82.38,10201850
NVDA,D,24/04/24,00:00:00,83.972,84.07,79.195,79.651,11906560
NVDA,D,25/04/24,00:00:00,78.969,83.303,78.257,82.686,11315570
NVDA,D,26/04/24,00:00:00,83.856,88.322,83.387,87.798,18087840
NVDA,D,29/04/24,00:00:00,87.6,87.974,85.285,87.836,9287780
NVDA,D,30/04/24,00:00:00,87.25,88.8,86.3,86.377,7765040
NVDA,D,01/05/24,00:00:00,85.129,86,81.272,83.06,14990580
NVDA,D,02/05/24,00:00:00,84.513,86.236,83.2,85.8375,11038230
NVDA,D,03/05/24,00:00:00,87.701,89.276,87.05,88.78,13148270
NVDA,D,06/05/24,00:00:00,89.395,92.2055,89.068,92.121,9636390
NVDA,D,07/05/24,00:00:00,91.0355,91.744,89.012,90.542,11309480
NVDA,D,08/05/24,00:00:00,89.49,91.188,89.423,90.396,8846900
NVDA,D,09/05/24,00:00:00,90.507,91.07,88.247,88.79,10333580
NVDA,D,10/05/24,00:00:00,90.221,91.4,89.238,89.859,13801540
NVDA,D,13/05/24,00:00:00,90.474,90.995,88.552,90.428,6161170
NVDA,D,14/05/24,00:00:00,89.594,91.645,88.986,91.357,11824000
NVDA,D,15/05/24,00:00:00,92.465,94.862,91.604,94.649,16205140
NVDA,D,16/05/24,00:00:00,94.98,95.8,94.13,94.4,9681510
NVDA,D,17/05/24,00:00:00,94.483,94.71,91.815,92.483,12002250
NVDA,D,20/05/24,00:00:00,93.7805,95.2,93.463,94.81,5424560
NVDA,D,21/05/24,00:00:00,93.566,95.4,93.181,95.377,6563220
NVDA,D,22/05/24,00:00:00,95.451,96,93.29,94.898,7901120
NVDA,D,23/05/24,00:00:00,102.028,106.28,101.547,103.775,22607630
NVDA,D,24/05/24,00:00:00,104.4575,106.451,103.003,106.411,11859020
NVDA,D,28/05/24,00:00:00,110.244,114.903,109.9,113.89,15094240
NVDA,D,29/05/24,00:00:00,113.05,115.485,110.92,114.681,13388780
NVDA,D,30/05/24,00:00:00,114.654,115.761,109.663,110.526,10722390
NVDA,D,31/05/24,00:00:00,112.421,112.711,106.956,109.502,15688340
NVDA,D,03/06/24,00:00:00,113.654,115,112.044,115,12186540
NVDA,D,04/06/24,00:00:00,115.759,116.6,114.06,116.443,11448460
NVDA,D,05/06/24,00:00:00,118.371,122.449,117.488,122.449,13762140
NVDA,D,06/06/24,00:00:00,124.0465,125.586,118.343,120.941,17413330
NVDA,D,07/06/24,00:00:00,119.719,121.678,118.025,120.865,11112170
NVDA,D,10/06/24,00:00:00,120.36,123.08,117.01,121.66,10748579
NVDA,D,11/06/24,00:00:00,121.76,122.87,118.75,120.91,6016784
NVDA,D,12/06/24,00:00:00,123.06,126.88,122.57,125.26,9827187
NVDA,D,13/06/24,00:00:00,129.48,129.8,127.17,129.32,8069948
NVDA,D,14/06/24,00:00:00,129.9,132.83,128.32,131.93,9123507
NVDA,D,17/06/24,00:00:00,132.92,133.72,129.59,130.99,9330851
NVDA,D,18/06/24,00:00:00,131.14,136.32,130.73,135.66,9121337
