<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALGN,D,24/07/23,00:00:00,335.89,338.15,333.33,336.94,14937
ALGN,D,25/07/23,00:00:00,330,336.98,324.99,332.19,30102
ALGN,D,26/07/23,00:00:00,329.03,340.41,328.93,340.41,19012
ALGN,D,27/07/23,00:00:00,401.47,411.61,379.78,385.165,75484
ALGN,D,28/07/23,00:00:00,396.28,396.86,378.62,381.9,20121
ALGN,D,31/07/23,00:00:00,384.225,384.225,376.175,377.97,9937
ALGN,D,01/08/23,00:00:00,376.96,379.2,373.15,376.755,6598
ALGN,D,02/08/23,00:00:00,370.5,370.85,363.81,367.46,7844
ALGN,D,03/08/23,00:00:00,363.42,367.18,362.19,366.45,7698
ALGN,D,04/08/23,00:00:00,367.73,368,360.28,361.36,13268
ALGN,D,07/08/23,00:00:00,361.91,362.54,358.6,361.26,16023
ALGN,D,08/08/23,00:00:00,354.63,358.735,354.63,357.98,17735
ALGN,D,09/08/23,00:00:00,356.5,359.32,352.67,352.67,6709
ALGN,D,10/08/23,00:00:00,354.06,356.23,346.15,347.26,7479
ALGN,D,11/08/23,00:00:00,347.72,354.3,347.54,353.03,6971
ALGN,D,14/08/23,00:00:00,350.77,360.62,349.65,360.62,6605
ALGN,D,15/08/23,00:00:00,359.39,364.66,356.42,360.95,5776
ALGN,D,16/08/23,00:00:00,358.73,361.16,358.25,358.41,6276
ALGN,D,17/08/23,00:00:00,357.86,358.45,348.29,350.21,10568
ALGN,D,18/08/23,00:00:00,347.3,352.18,347.3,350.39,8216
ALGN,D,21/08/23,00:00:00,351,351,342.34,342.43,7232
ALGN,D,22/08/23,00:00:00,342.85,353.28,342.005,351.64,6498
ALGN,D,23/08/23,00:00:00,355.96,362.79,355.96,359.25,7291
ALGN,D,24/08/23,00:00:00,364.7,368.69,350.68,350.87,10461
ALGN,D,25/08/23,00:00:00,350.09,356.89,349.08,356.38,4811
ALGN,D,28/08/23,00:00:00,357.02,360.49,357.02,358.8,2500
ALGN,D,29/08/23,00:00:00,357.3,367.82,357.3,367.75,3350
ALGN,D,30/08/23,00:00:00,370.92,374.08,370.24,370.8,5478
ALGN,D,31/08/23,00:00:00,373.81,374.16,369.94,370.11,8641
ALGN,D,01/09/23,00:00:00,375.5,375.5,369.21,374.75,3900
ALGN,D,05/09/23,00:00:00,372.9,373.49,367.93,368.83,7600
ALGN,D,06/09/23,00:00:00,367.78,370.37,365.79,369.95,8181
ALGN,D,07/09/23,00:00:00,367.17,367.17,339.85,340.98,42534
ALGN,D,08/09/23,00:00:00,340.55,341.5,330.49,331.995,13664
ALGN,D,11/09/23,00:00:00,332.92,336.04,331.25,335.35,7181
ALGN,D,12/09/23,00:00:00,330.22,330.805,321.9,322.25,4288
ALGN,D,13/09/23,00:00:00,320.66,324.28,317.36,322.37,6754
ALGN,D,14/09/23,00:00:00,328.84,333.67,326.09,332.8,13899
ALGN,D,15/09/23,00:00:00,332.06,335.41,328.23,332.15,10136
ALGN,D,18/09/23,00:00:00,331.73,331.73,325.13,325.13,9048
ALGN,D,19/09/23,00:00:00,320.68,320.68,316.77,317.99,8204
ALGN,D,20/09/23,00:00:00,318.2,318.72,309.62,309.95,6600
ALGN,D,21/09/23,00:00:00,305.07,305.07,299.18,300.27,10631
ALGN,D,22/09/23,00:00:00,302.96,303.48,297.56,298.42,8928
ALGN,D,25/09/23,00:00:00,296.33,298.5,293.57,298.01,10798
ALGN,D,26/09/23,00:00:00,297,300.6,297,299.02,12061
ALGN,D,27/09/23,00:00:00,300.26,303.68,297.27,301.65,18104
ALGN,D,28/09/23,00:00:00,302.9,310.62,302.9,307.35,10016
ALGN,D,29/09/23,00:00:00,311.41,311.41,304.18,305.49,5097
ALGN,D,02/10/23,00:00:00,301.17,302.27,296.48,299.8,10177
ALGN,D,03/10/23,00:00:00,297.47,301.39,288.84,290.34,10463
ALGN,D,04/10/23,00:00:00,290.73,292.14,286.7,291.78,25152
ALGN,D,05/10/23,00:00:00,290.78,290.78,276.94,280.28,22967
ALGN,D,06/10/23,00:00:00,279.97,287.33,276.5,284.65,13346
ALGN,D,09/10/23,00:00:00,282.62,284.43,277.64,284.05,9319
ALGN,D,10/10/23,00:00:00,283.69,291.52,282.83,286.41,7964
ALGN,D,11/10/23,00:00:00,285.76,285.76,276.54,277.17,15705
ALGN,D,12/10/23,00:00:00,276.48,276.94,265.69,267.96,17711
ALGN,D,13/10/23,00:00:00,267.8,270.235,263.88,265.86,18076
ALGN,D,16/10/23,00:00:00,269.01,275.25,268.33,272.25,14114
ALGN,D,17/10/23,00:00:00,274.96,277.71,273.77,276.91,6881
ALGN,D,18/10/23,00:00:00,272.8,274.73,269.7,272.46,9314
ALGN,D,19/10/23,00:00:00,270.85,275.06,269.12,270.41,8819
ALGN,D,20/10/23,00:00:00,268.61,272.67,266.79,270.2,7792
ALGN,D,23/10/23,00:00:00,266.97,268.76,265.29,265.515,15208
ALGN,D,24/10/23,00:00:00,265.47,267.76,262.955,265.8,48687
ALGN,D,25/10/23,00:00:00,262.34,262.34,252.53,254.37,28933
ALGN,D,26/10/23,00:00:00,196,200.61,187.33,190.42,153671
ALGN,D,27/10/23,00:00:00,192.99,197.39,185.99,190.55,96349
ALGN,D,30/10/23,00:00:00,193.61,193.61,176.51,186.63,94525
ALGN,D,31/10/23,00:00:00,188.06,188.8,183.7,184.5,25182
ALGN,D,01/11/23,00:00:00,183.45,183.53,178.55,183.16,30989
ALGN,D,02/11/23,00:00:00,188.62,193.46,185.15,192.32,50095
ALGN,D,03/11/23,00:00:00,194.85,202.915,194.85,197.395,48143
ALGN,D,06/11/23,00:00:00,202,202,197.1,197.69,41594
ALGN,D,07/11/23,00:00:00,198.73,198.73,196.35,197.33,20081
ALGN,D,08/11/23,00:00:00,196.18,196.5,192.37,193.57,52265
ALGN,D,09/11/23,00:00:00,192.42,192.65,186.21,187.41,23320
ALGN,D,10/11/23,00:00:00,187.81,192.665,186.88,191.99,25271
ALGN,D,13/11/23,00:00:00,192.06,193.02,190.76,191.22,37677
ALGN,D,14/11/23,00:00:00,199.83,205.45,199.83,202.45,47795
ALGN,D,15/11/23,00:00:00,203.5,212.96,203.5,205.06,24858
ALGN,D,16/11/23,00:00:00,212.53,212.54,202.77,203.23,26252
ALGN,D,17/11/23,00:00:00,204.41,207.95,203.64,206.5,22487
ALGN,D,20/11/23,00:00:00,206.61,215.93,206.61,215.29,22951
ALGN,D,21/11/23,00:00:00,214.81,215.92,213.28,215.23,21777
ALGN,D,22/11/23,00:00:00,217.94,221.02,217.24,217.24,18360
ALGN,D,24/11/23,00:00:00,219.16,220.73,219.07,219.46,6894
ALGN,D,27/11/23,00:00:00,216.54,218.45,216.22,216.87,28178
ALGN,D,28/11/23,00:00:00,216.03,216.055,213.055,214.16,19381
ALGN,D,29/11/23,00:00:00,218.08,221.13,216.07,216.47,14029
ALGN,D,30/11/23,00:00:00,216.54,216.65,211.86,213.76,20129
ALGN,D,01/12/23,00:00:00,213.81,224.96,213.81,220.33,37883
ALGN,D,04/12/23,00:00:00,217.86,220.01,215.14,219.54,15046
ALGN,D,05/12/23,00:00:00,217.08,217.08,212.41,215.26,16627
ALGN,D,06/12/23,00:00:00,218.38,218.52,215.48,216.72,11634
ALGN,D,07/12/23,00:00:00,217.23,218.2,214.38,216.54,10624
ALGN,D,08/12/23,00:00:00,214.96,222.03,214.96,221.2,41463
ALGN,D,11/12/23,00:00:00,215.94,221.51,215.91,218.59,29092
ALGN,D,12/12/23,00:00:00,216.66,218.2,212.94,217.47,56436
ALGN,D,13/12/23,00:00:00,218.98,231.46,217.88,231.46,37116
ALGN,D,14/12/23,00:00:00,245.5,264.45,245.47,257.04,94486
ALGN,D,15/12/23,00:00:00,258.04,262.4,251.65,255.06,41022
ALGN,D,18/12/23,00:00:00,255,267.07,255,261.78,48015
ALGN,D,19/12/23,00:00:00,264.35,270.29,264.22,268.35,20222
ALGN,D,20/12/23,00:00:00,264.87,270.86,262.02,262.02,15373
ALGN,D,21/12/23,00:00:00,268.71,274.71,268.525,273.87,13170
ALGN,D,22/12/23,00:00:00,274.84,274.84,269.3,271.91,17815
ALGN,D,26/12/23,00:00:00,271.8,276.25,270.98,274.2,13258
ALGN,D,27/12/23,00:00:00,274.89,275.86,272.87,275.28,5648
ALGN,D,28/12/23,00:00:00,276,278.62,275.99,276.75,6808
ALGN,D,29/12/23,00:00:00,276.8,276.835,273.62,273.88,8428
ALGN,D,02/01/24,00:00:00,271.38,271.43,266.14,268.92,12093
ALGN,D,03/01/24,00:00:00,263.2,263.2,250.69,256.15,23999
ALGN,D,04/01/24,00:00:00,256.395,263.1,255.52,261.27,18445
ALGN,D,05/01/24,00:00:00,261.87,269.16,261.87,264.48,12376
ALGN,D,08/01/24,00:00:00,267.31,274.875,266.38,273.58,10122
ALGN,D,09/01/24,00:00:00,276.13,281.73,276.13,277.63,12950
ALGN,D,10/01/24,00:00:00,277.61,278.5,271.41,276.91,10200
ALGN,D,11/01/24,00:00:00,275.45,279.27,274.165,276.37,13960
ALGN,D,12/01/24,00:00:00,277.74,278.53,270.33,271.63,7816
ALGN,D,16/01/24,00:00:00,267.63,268.24,264.58,267.18,8871
ALGN,D,17/01/24,00:00:00,261.67,263.38,257.08,259.43,15854
ALGN,D,18/01/24,00:00:00,263.49,264.62,259.24,264.62,10065
ALGN,D,19/01/24,00:00:00,262.025,267.08,260.71,266.37,11443
ALGN,D,22/01/24,00:00:00,268.77,273.13,267.63,271.68,8935
ALGN,D,23/01/24,00:00:00,270.71,271.03,264.54,266.44,7653
ALGN,D,24/01/24,00:00:00,267.98,268.19,257.12,257.12,23032
ALGN,D,25/01/24,00:00:00,259.56,262.28,254.81,261.98,19056
ALGN,D,26/01/24,00:00:00,264.6,269.85,262.84,264.43,15230
ALGN,D,29/01/24,00:00:00,263.675,274.78,263.675,270.16,26357
ALGN,D,30/01/24,00:00:00,264.86,271,264.47,264.68,30570
ALGN,D,31/01/24,00:00:00,262.98,273.97,262.98,267.27,32286
ALGN,D,01/02/24,00:00:00,302.83,307.75,266.8,273.01,168495
ALGN,D,02/02/24,00:00:00,268.07,277.27,264.35,274.11,21094
ALGN,D,05/02/24,00:00:00,273.58,276.41,268.52,275.91,16848
ALGN,D,06/02/24,00:00:00,276.32,293.17,276.32,288.5,31222
ALGN,D,07/02/24,00:00:00,289.01,290.94,283.26,284.74,17653
ALGN,D,08/02/24,00:00:00,284.61,296.3,284.61,295.04,32902
ALGN,D,09/02/24,00:00:00,292.86,298.34,292.86,296.25,22335
ALGN,D,12/02/24,00:00:00,295.92,303.64,295.725,302.53,22295
ALGN,D,13/02/24,00:00:00,289.98,295.965,289.83,292.32,14585
ALGN,D,14/02/24,00:00:00,293.76,303.07,293.76,302.97,16017
ALGN,D,15/02/24,00:00:00,307.18,312.01,305.8,309.84,19177
ALGN,D,16/02/24,00:00:00,310.01,314.08,306.68,308.88,21589
ALGN,D,20/02/24,00:00:00,306.39,314.515,306.39,313.62,23213
ALGN,D,21/02/24,00:00:00,309.11,309.11,301,305.12,25628
ALGN,D,22/02/24,00:00:00,305.51,317.02,305.51,317.01,26921
